city,Care Quotient,Social & Relational Care,Institutional Care,Economic Access to Care,Residential Stability,Care Nonprofits (P+E+F+K per 10k),Library Density (per 100k residents),Religious Institution Density (congregations/100k),FQHCs (per 100k),Nursing Home Capacity (beds/1k 65+),Child Care Capacity (establishments/1k under-5),Healthcare Coverage Rate,Housing Affordability (% not cost-burdened),SNAP Coverage Rate
cincinnati,79.3,72.1,91.9,73.0,82.8,51.8,100.0,100.0,81.9,100.0,100.0,83.0,70.4,60.7
cleveland,78.2,74.1,78.5,84.4,85.7,53.0,100.0,100.0,75.1,70.5,100.0,100.0,67.4,83.2
rochester,77.6,66.1,86.2,83.9,85.5,35.2,85.2,100.0,69.4,100.0,100.0,100.0,65.1,84.6
honolulu,76.1,81.3,65.4,82.7,89.8,65.9,100.0,100.0,100.0,28.6,52.1,100.0,65.1,79.7
washington_dc,74.9,80.6,62.6,83.0,84.0,78.1,75.4,72.6,73.5,58.9,44.8,100.0,71.0,72.5
providence,73.6,70.2,66.7,88.7,88.1,40.4,100.0,100.0,34.9,94.7,89.3,100.0,67.7,100.0
detroit,73.5,76.3,60.8,86.8,91.8,54.3,72.8,100.0,56.9,68.8,55.7,100.0,63.8,98.0
baton_rouge,73.3,66.1,80.1,75.2,83.5,37.3,87.8,100.0,82.1,96.4,47.3,89.4,68.5,62.0
pittsburgh,73.1,77.5,66.9,74.9,82.6,65.4,100.0,100.0,46.2,74.5,100.0,78.7,75.2,68.5
minneapolis,71.8,66.5,72.5,79.2,80.6,43.8,74.4,100.0,48.1,88.1,100.0,97.3,73.3,58.3
atlanta,71.7,85.9,58.3,67.7,84.2,86.0,88.2,100.0,32.1,68.2,100.0,66.8,70.7,64.9
new_orleans,71.4,70.8,68.2,76.8,90.4,44.8,78.2,74.8,100.0,49.2,29.9,98.2,62.1,63.0
buffalo,70.1,68.9,59.2,87.2,88.9,38.8,79.0,100.0,31.1,75.6,93.9,100.0,71.4,88.7
chicago,69.0,65.3,63.7,82.5,88.9,33.8,60.0,87.4,47.9,83.1,65.5,95.5,67.5,82.6
st_louis,69.0,74.4,60.2,72.5,87.4,51.9,99.4,100.0,53.1,80.9,40.1,73.3,72.5,71.2
indianapolis,68.6,69.7,59.8,79.0,88.7,47.2,56.4,72.2,59.3,78.0,29.3,97.6,74.5,55.7
birmingham,68.5,67.9,67.3,71.1,85.1,38.4,100.0,100.0,56.5,62.5,100.0,77.8,65.1,68.8
baltimore,68.4,75.3,46.8,87.4,89.2,56.6,78.6,82.5,30.7,80.7,23.9,100.0,68.1,94.1
st_paul,67.8,70.7,53.6,82.9,86.4,46.2,89.8,89.7,47.1,70.1,39.5,100.0,74.0,67.8
boston,67.8,66.3,58.2,83.8,83.8,46.0,71.0,48.9,70.1,50.0,46.0,100.0,64.5,84.7
sacramento,67.7,73.1,52.4,80.5,88.9,51.4,61.0,100.0,53.3,40.8,70.8,100.0,66.3,69.3
portland,67.4,62.8,60.0,85.2,86.5,34.6,49.0,66.1,55.2,49.3,89.7,100.0,69.3,83.7
stockton,67.1,59.7,61.9,86.4,92.3,15.1,50.0,100.0,45.7,98.0,35.1,100.0,63.6,96.5
seattle,66.7,61.2,65.5,77.0,79.9,30.9,78.6,100.0,70.5,39.4,100.0,91.1,72.1,61.5
milwaukee,66.4,66.4,53.0,85.2,88.8,36.8,55.4,91.0,46.2,45.3,81.8,100.0,66.8,87.2
des_moines,65.9,64.3,53.3,86.2,86.6,32.9,56.0,100.0,37.3,72.4,56.0,100.0,76.4,77.8
spokane,65.7,58.2,56.7,90.3,83.2,22.5,52.4,100.0,43.7,66.4,69.1,100.0,72.4,100.0
philadelphia,64.3,65.0,47.2,87.0,89.6,35.7,64.8,54.4,31.2,66.1,50.1,100.0,68.1,92.8
san_francisco,63.9,62.5,53.4,80.8,88.3,31.4,75.6,40.9,61.0,32.7,72.5,100.0,73.8,59.8
los_angeles,63.7,66.0,54.3,73.0,92.5,32.4,40.0,96.5,51.8,53.5,61.5,100.0,53.9,56.4
omaha,63.7,63.6,57.4,72.5,88.3,34.3,53.4,62.1,52.1,67.9,51.1,78.0,77.3,56.9
denver,62.9,64.6,50.2,77.9,82.9,40.5,92.2,46.2,56.9,56.6,23.9,100.0,71.1,52.0
richmond,61.8,63.0,54.0,70.8,82.4,35.8,61.8,88.3,35.3,100.0,15.5,83.8,66.6,56.0
nyc,61.6,62.1,45.7,83.2,93.5,27.4,53.8,34.7,35.2,64.7,36.1,100.0,59.8,89.0
fresno,61.3,62.3,45.5,82.0,90.6,25.8,44.2,89.2,59.0,42.1,21.3,100.0,65.4,76.3
miami,61.3,63.7,51.9,70.7,86.6,33.0,44.4,100.0,34.1,47.2,100.0,73.8,51.8,92.3
kansas_city,61.2,68.6,50.4,64.4,86.9,41.5,70.8,100.0,35.4,65.5,57.6,62.9,75.3,51.5
san_jose,60.5,57.3,50.5,79.6,90.9,16.6,41.4,62.0,43.4,37.6,89.2,100.0,69.4,61.4
san_diego,59.1,61.2,45.0,75.3,87.6,26.0,56.2,84.0,48.1,26.5,70.3,100.0,63.8,52.0
memphis,59.0,70.3,36.1,72.9,89.4,44.4,56.8,100.0,21.1,56.0,35.2,80.6,67.0,68.7
lexington,59.0,58.8,49.8,72.4,81.8,31.9,37.2,64.7,51.7,60.2,27.3,87.0,76.6,43.3
tampa,58.7,62.4,43.6,74.1,81.9,33.8,59.4,100.0,18.2,44.4,99.4,79.9,68.9,71.9
columbus,58.4,60.7,42.8,76.6,83.1,32.4,50.8,73.1,22.1,62.3,55.1,91.4,72.9,58.0
oklahoma_city,57.8,61.0,42.2,74.4,86.1,28.0,41.2,94.7,24.5,71.6,30.7,78.8,78.7,61.2
aurora,56.9,62.6,34.4,79.3,85.8,32.1,38.2,100.0,12.7,53.7,49.5,100.0,67.7,62.6
bakersfield,56.4,56.6,38.5,81.1,90.9,12.3,24.6,100.0,31.1,59.3,18.7,100.0,65.6,72.6
raleigh,56.4,63.3,35.5,74.5,85.1,35.2,34.2,100.0,5.7,46.5,83.1,85.0,75.9,55.6
albuquerque,56.4,56.9,36.1,83.9,88.5,18.9,49.6,51.5,24.8,50.7,36.0,100.0,73.7,72.6
las_vegas,55.6,65.5,29.5,76.2,88.3,37.6,28.0,98.8,20.8,34.1,40.8,89.0,67.8,67.4
colorado_springs,55.4,57.0,35.1,81.1,83.1,26.6,33.4,63.6,22.3,51.2,35.7,100.0,71.6,64.1
phoenix,55.4,60.8,31.7,79.8,88.6,26.0,21.2,100.0,29.9,31.1,36.8,100.0,73.8,55.9
fort_worth,55.2,62.4,37.3,68.8,89.0,26.6,45.8,100.0,1.5,83.1,37.9,70.5,70.7,63.4
durham,55.1,63.3,35.2,69.7,85.5,34.6,49.4,84.9,18.8,51.8,43.1,73.0,77.1,54.1
salt_lake_city,55.1,63.0,45.5,55.8,82.9,31.5,79.8,100.0,13.3,55.8,100.0,53.8,73.0,34.9
jacksonville,54.6,62.5,30.0,76.5,86.5,34.2,42.2,69.3,7.0,60.8,27.7,81.0,71.8,75.8
charlotte,54.4,66.1,28.7,71.8,86.6,42.9,38.8,73.3,15.3,42.6,34.3,80.5,73.7,55.4
wichita,53.7,59.8,33.3,72.6,85.7,25.4,45.2,91.2,25.1,50.6,21.7,78.0,80.0,53.7
san_antonio,53.6,56.2,39.1,69.7,86.1,19.2,48.8,60.6,19.1,73.0,24.6,71.8,70.2,65.7
nashville,53.4,65.7,28.7,68.3,83.8,39.9,63.8,92.2,15.5,52.0,17.7,78.1,72.1,47.4
